,review_scores_rating
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,0
140,0
141,1
142,1
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,0
227,0
228,1
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,1
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,1
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,1
370,0
371,0
372,0
373,1
374,0
375,1
376,1
377,0
378,0
379,1
380,1
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,1
410,1
411,1
412,1
413,0
414,0
415,1
416,1
417,0
418,0
419,1
420,0
421,0
422,1
423,1
424,0
425,0
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,0
484,1
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,1
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,0
